strategy,budget_pct,angles,ray_count,mse,ssim,defect_recall,defect_iou,runtime_s
uniform_sparse,5,9,1440,0.03557403385639191,0.2977213317037266,0.45348837209302323,0.06794425087108014,0.00021925100000430575
random_sparse,5,9,1440,0.03900585323572159,0.3092553221536211,0.7616279069767442,0.11471103327495621,0.00028828599999997095
adaptive,5,9,1440,0.0379803292453289,0.2970248378730639,0.5465116279069767,0.09690721649484536,0.08216413200000261
uniform_sparse,10,18,2880,0.01148820761591196,0.3362645873742673,0.7441860465116279,0.11101474414570685,6.949999999505962e-05
random_sparse,10,18,2880,0.03150990977883339,0.3925623055686725,0.6686046511627907,0.10008703220191471,6.613899998342276e-05
adaptive,10,18,2880,0.01701657846570015,0.3588688020055284,0.5755813953488372,0.09491850431447747,0.0888892399999861
uniform_sparse,20,36,5760,0.003889460349455476,0.43016843823349055,0.7558139534883721,0.10734929810074319,7.05120000077386e-05
random_sparse,20,36,5760,0.009070508182048798,0.41135483065936257,0.8372093023255814,0.1258741258741259,0.00015367499997864797
adaptive,20,36,5760,0.008279703557491302,0.49350810023789377,0.686046511627907,0.11163670766319773,0.10443354299999896
uniform_sparse,40,72,11520,0.001788881840184331,0.6126476447052405,0.7965116279069767,0.11021721641190668,0.0001746080000089023
random_sparse,40,72,11520,0.004784067161381245,0.5266730735584234,0.872093023255814,0.12987012987012986,6.983099999047226e-05
adaptive,40,72,11520,0.0055661676451563835,0.6464418630132547,0.75,0.11911357340720222,0.13573194499997498
uniform_sparse,100,180,28800,0.001042999210767448,0.914915884180985,0.8313953488372093,0.11476725521669343,0.0001535769999918557
random_sparse,100,180,28800,0.001042999210767448,0.914915884180985,0.8313953488372093,0.11476725521669343,7.750099999270788e-05
adaptive,100,180,28800,0.001042999210767448,0.914915884180985,0.8313953488372093,0.11476725521669343,0.1801094790000093
dense_reference,100,180,28800,0.001042999210767448,0.914915884180985,0.8313953488372093,0.11476725521669343,0.0
